City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
364,Isabela,PH,84.25,overcast clouds,6.7085,121.9711,
365,Caravelas,BR,71.04,overcast clouds,-17.7125,-39.2481,
366,Bonthe,SL,75.96,clear sky,7.5264,-12.505,
367,Rioja,AR,79.34,clear sky,-29.4111,-66.8507,
369,Vredendal,ZA,63.77,clear sky,-31.6683,18.5012,
371,Soyo,AO,76.66,light rain,-6.1349,12.3689,
372,Okitipupa,NG,68.52,overcast clouds,6.5047,4.7839,
375,Salalah,OM,69.89,clear sky,17.0151,54.0924,
377,Saint-Pierre,RE,74.88,light rain,-21.3393,55.4781,
378,Muisne,EC,76.21,broken clouds,0.6,-80.0333,
381,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,
382,Sur,OM,71.8,clear sky,22.5667,59.5289,
388,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,
389,Anderson,US,60.96,mist,34.5334,-82.6499,
390,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,
391,Sungaipenuh,ID,71.22,moderate rain,-2.0833,101.3833,
398,Puerto Baquerizo Moreno,EC,72.54,few clouds,-0.9,-89.6,
399,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,
400,Abonnema,NG,68.29,overcast clouds,4.7084,6.7931,
403,Ipixuna,BR,73.62,scattered clouds,-1.7625,-48.8043,
404,Maiduguri,NG,62.24,broken clouds,11.8464,13.1603,
407,Tam Ky,VN,67.93,overcast clouds,15.5667,108.4833,
408,Chiredzi,ZW,66.65,clear sky,-21.05,31.6667,
411,Isla Mujeres,MX,78.17,scattered clouds,21.2311,-86.731,
412,Inhambane,MZ,72.95,clear sky,-23.865,35.3833,
413,Pangoa,PE,68.14,overcast clouds,-12.1167,-73.0,
414,Teshie,GH,77.56,few clouds,5.5836,-0.1072,
417,Nampula,MZ,69.75,thunderstorm with rain,-15.1165,39.2666,
419,Tuatapere,NZ,74.34,overcast clouds,-46.1333,167.6833,
421,Camacari,BR,78.57,overcast clouds,-12.6975,-38.3242,
422,Esperance,AU,67.03,broken clouds,-33.8667,121.9,
424,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,
425,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,
427,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,
428,Airai,TL,67.14,overcast clouds,-8.9266,125.4092,
431,Zhuhai,CN,60.58,scattered clouds,22.2769,113.5678,
433,Aripuana,BR,70.7,overcast clouds,-9.1667,-60.6333,
437,Chicama,PE,66.74,broken clouds,-7.8447,-79.1469,
439,Ponta Do Sol,PT,61.72,overcast clouds,32.6667,-17.1,
440,Thinadhoo,MV,80.29,broken clouds,0.5333,72.9333,
442,Georgetown,MY,82.33,few clouds,5.4112,100.3354,
443,Eyl,SO,73.26,scattered clouds,7.9803,49.8164,
444,Dwarka,IN,68.18,clear sky,22.2394,68.9678,
445,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,
446,Nhulunbuy,AU,79.41,moderate rain,-12.2333,136.7667,
447,Mount Isa,AU,83.97,light rain,-20.7333,139.5,
448,Cabinda,AO,76.57,light rain,-5.55,12.2,
453,Trincomalee,LK,78.31,broken clouds,8.5711,81.2335,
454,Touba,CI,67.35,clear sky,8.2833,-7.6833,
455,Bardiyah,LY,61.59,moderate rain,31.7561,25.0865,
458,Santa Isabel,BR,74.5,overcast clouds,-23.3156,-46.2214,
460,Adrar,MR,64.08,clear sky,20.5022,-10.0711,
461,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,
462,Sao Gabriel Da Cachoeira,BR,72.25,overcast clouds,-0.1303,-67.0892,
464,Betioky,MG,72.01,overcast clouds,-23.7167,44.3833,
468,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,
470,Sinnamary,GF,75.6,light rain,5.3833,-52.95,
471,Mocuba,MZ,70.56,few clouds,-16.8392,36.9856,
476,Vinh,VN,60.44,overcast clouds,18.6667,105.6667,
478,Namatanai,PG,85.89,light rain,-3.6667,152.4333,
481,Fare,PF,81.59,overcast clouds,-16.7,-151.0167,
485,Batemans Bay,AU,70.11,overcast clouds,-35.7167,150.1833,
490,Sao Joao Da Barra,BR,74.52,clear sky,-21.6403,-41.0511,
492,Vilhena,BR,69.82,overcast clouds,-12.7406,-60.1458,
493,Byron Bay,AU,81.95,few clouds,-28.65,153.6167,
494,Bowen,AU,81.86,broken clouds,-20.0167,148.2333,
496,Dhidhdhoo,MV,80.06,scattered clouds,6.8833,73.1,
497,Marsh Harbour,BS,74.48,clear sky,26.5412,-77.0636,
499,Isoka,ZM,60.66,light rain,-10.1606,32.6335,
500,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,
501,Santa Maria,BR,74.5,clear sky,-29.6842,-53.8069,
505,Galesong,ID,73.42,light rain,-5.3166,119.3661,
507,Acarau,BR,78.91,scattered clouds,-2.8856,-40.12,
508,Mumford,GH,77.14,broken clouds,5.2618,-0.759,
509,Liwale,TZ,66.4,overcast clouds,-9.7667,37.9333,
