City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
318,Waitati,-45.75,170.5667,59.81,95,100,8.12,NZ,overcast clouds
319,Mackay,-21.15,149.2,88.68,66,31,8.72,AU,scattered clouds
320,Miles City,46.4083,-105.8406,22.17,93,0,4.61,US,clear sky
321,Rabo De Peixe,37.8,-25.5833,58.51,82,20,12.66,PT,few clouds
322,Kurilsk,45.2333,147.8833,16.72,64,100,21.94,RU,light snow
323,Kabala,9.5833,-11.55,64.71,24,33,2.55,SL,scattered clouds
324,Bloemfontein,-29.1211,26.214,60.28,82,100,5.75,ZA,overcast clouds
325,Lima,-12.0432,-77.0282,71.91,76,40,17.27,PE,scattered clouds
326,Djambala,-2.5447,14.7533,67.32,90,97,0.98,CG,overcast clouds
327,Santiago Del Estero,-27.7951,-64.2615,77.49,28,5,10.56,AR,clear sky
328,Olafsvik,64.8945,-23.7142,32.61,65,100,13.09,IS,light snow
329,Doka,13.5167,35.7667,75.47,58,95,6.06,SD,overcast clouds
330,Te Anau,-45.4167,167.7167,74.82,44,100,5.82,NZ,overcast clouds
331,Sicamous,50.8331,-118.9856,32.97,95,100,4.0,CA,overcast clouds
332,At-Bashi,41.1702,75.8106,-1.3,74,14,2.28,KG,few clouds
333,Ermelo,-26.5333,29.9833,51.55,96,11,3.6,ZA,few clouds
334,Leshukonskoye,64.8989,45.7622,-13.43,100,62,4.07,RU,broken clouds
335,La Romana,18.4273,-68.9728,71.96,100,0,0.0,DO,clear sky
336,Leningradskiy,69.3833,178.4167,-23.93,97,100,12.71,RU,overcast clouds
337,Olinda,-8.0089,-34.8553,80.33,74,75,9.22,BR,broken clouds
338,Necochea,-38.5473,-58.7368,59.56,74,13,2.71,AR,few clouds
339,Namibe,-15.1961,12.1522,73.69,91,100,7.74,AO,light rain
340,Port Alfred,-33.5906,26.891,66.18,94,100,1.01,ZA,overcast clouds
341,Trat,12.5,102.5,78.87,65,100,8.55,TH,overcast clouds
342,Mariental,-24.6333,17.9667,77.99,44,87,3.4,NA,overcast clouds
343,Mamlyutka,54.9375,68.5394,26.62,95,100,20.33,KZ,snow
344,Tautira,-17.7333,-149.15,80.65,73,39,17.07,PF,scattered clouds
345,Constantine,36.365,6.6147,36.81,64,0,0.0,DZ,clear sky
346,Chatham,51.3789,0.5279,44.31,90,1,6.49,GB,light rain
